match_id,queue_id,game_version,game_duration,winner,blue_top,red_top,blue_jg,red_jg,blue_mid,red_mid,blue_adc,red_adc,blue_sup,red_sup
NA1_5589738081,420,16.13.790.6961,1619,blue,Jax,Akali,Hecarim,MasterYi,Locke,Aurora,Caitlyn,Ezreal,Bard,Brand
NA1_5590010788,420,16.13.791.5903,1186,red,Nasus,Quinn,Shaco,Nidalee,TwistedFate,Yasuo,Zeri,Lucian,Yuumi,Rakan
NA1_5590996508,420,16.13.791.5903,1115,blue,Pantheon,Renekton,Nunu,Naafiri,Yone,Sylas,Zyra,Syndra,Camille,Soraka
NA1_5590775690,420,16.13.791.5903,1685,red,Zed,Shen,MasterYi,Ekko,Locke,Riven,MissFortune,Lucian,Leona,Nami
NA1_5591190499,420,16.13.791.5903,1576,red,Syndra,Sion,Hecarim,Rengar,Naafiri,Yasuo,Xayah,Velkoz,Zac,Seraphine
NA1_5591474773,420,16.13.791.5903,1834,blue,Malphite,Aatrox,Talon,Ambessa,Veigar,Galio,Vayne,Kaisa,Camille,Pyke
NA1_5590315097,420,16.13.791.5903,1367,red,Jayce,MasterYi,JarvanIV,Hecarim,Taliyah,Katarina,Zyra,Syndra,Nautilus,Sona
NA1_5590986940,420,16.13.791.5903,915,red,Jax,Vladimir,Naafiri,Khazix,Veigar,Kassadin,Caitlyn,Ezreal,Sona,Seraphine
NA1_5590961313,420,16.13.791.5903,2077,blue,Fiora,Jax,Khazix,Nasus,Anivia,Veigar,Heimerdinger,Twitch,Lulu,Sona
NA1_5589719240,420,16.13.790.6961,922,blue,Fiora,Kled,Hecarim,MasterYi,Locke,Viktor,Kaisa,Zilean,Neeko,Poppy
NA1_5590909303,420,16.13.791.5903,2272,blue,Akshan,Ornn,Udyr,Naafiri,Akali,Veigar,Ashe,Smolder,Seraphine,Sona
NA1_5590926593,420,16.13.791.5903,1974,red,Olaf,Nasus,Shyvana,Vi,Yone,Talon,Lux,Syndra,Zoe,Maokai
NA1_5590063523,420,16.13.791.5903,1360,red,Garen,Shen,JarvanIV,Karthus,Viktor,Nasus,Senna,Tristana,Nautilus,Sylas
NA1_5591014450,420,16.13.791.5903,1872,red,Poppy,Malphite,Talon,MonkeyKing,Yone,Hwei,Syndra,Senna,Camille,Zoe
NA1_5590897822,420,16.13.791.5903,2363,blue,Ambessa,Zaahen,Talon,Jayce,MasterYi,Azir,KogMaw,Jinx,Rakan,Lulu
NA1_5591037519,420,16.13.791.5903,2335,blue,Yone,Anivia,Udyr,RekSai,MasterYi,Qiyana,Draven,Aurora,Sona,Pantheon
NA1_5590295742,420,16.13.791.5903,1573,red,Tryndamere,Malphite,LeeSin,Nidalee,XinZhao,MasterYi,Twitch,Senna,Leona,Pyke
NA1_5589815750,420,16.13.790.6961,1634,red,KSante,Jayce,Talon,MonkeyKing,Annie,Galio,Kaisa,Jinx,Alistar,Braum
NA1_5589767153,420,16.13.790.6961,2258,red,Sylas,Zac,Hecarim,Talon,Locke,Syndra,Jhin,Seraphine,Nautilus,Camille
NA1_5590945338,420,16.13.791.5903,1358,red,Olaf,XinZhao,Ivern,JarvanIV,Locke,Sylas,Jinx,Yunara,Sona,Zilean
